id,slot_no.,day,Booked_slots,Total_slots,day_encoded,traffic,traffic_category
4449243919,1,Monday,8,10,1,0.7,Moderate Traffic
4449243919,2,Monday,8,10,1,0.7,Moderate Traffic
4449243919,3,Monday,8,10,1,0.8,Moderate Traffic
4449243919,4,Monday,4,10,1,0.4,Less Traffic
4449243919,5,Monday,3,10,1,0.2,Less Traffic
4449243919,6,Monday,3,10,1,0.3,Less Traffic
4449243919,7,Monday,9,10,1,0.9,High Traffic
4449243919,8,Monday,6,10,1,0.6,Moderate Traffic
4449243919,9,Monday,3,10,1,0.2,Less Traffic
4449243919,10,Monday,9,10,1,0.9,High Traffic
4449243919,11,Monday,8,10,1,0.7,Moderate Traffic
4449243919,12,Monday,2,10,1,0.2,Less Traffic
4449243919,1,Tuesday,10,10,5,1.0,High Traffic
4449243919,2,Tuesday,4,10,5,0.4,Less Traffic
4449243919,3,Tuesday,6,10,5,0.6,Moderate Traffic
4449243919,4,Tuesday,5,10,5,0.5,Less Traffic
4449243919,5,Tuesday,3,10,5,0.3,Less Traffic
4449243919,6,Tuesday,3,10,5,0.3,Less Traffic
4449243919,7,Tuesday,6,10,5,0.6,Moderate Traffic
4449243919,8,Tuesday,2,10,5,0.2,Less Traffic
4449243919,9,Tuesday,6,10,5,0.6,Moderate Traffic
4449243919,10,Tuesday,9,10,5,0.9,High Traffic
4449243919,11,Tuesday,6,10,5,0.6,Moderate Traffic
4449243919,12,Tuesday,8,10,5,0.8,Moderate Traffic
4449243919,1,Wednesday,5,10,6,0.5,Less Traffic
4449243919,2,Wednesday,6,10,6,0.6,Moderate Traffic
4449243919,3,Wednesday,9,10,6,0.9,High Traffic
4449243919,4,Wednesday,9,10,6,0.9,High Traffic
4449243919,5,Wednesday,5,10,6,0.5,Less Traffic
4449243919,6,Wednesday,3,10,6,0.3,Less Traffic
4449243919,7,Wednesday,7,10,6,0.7,Moderate Traffic
4449243919,8,Wednesday,1,10,6,0.1,Less Traffic
4449243919,9,Wednesday,10,10,6,1.0,High Traffic
4449243919,10,Wednesday,3,10,6,0.3,Less Traffic
4449243919,11,Wednesday,8,10,6,0.8,Moderate Traffic
4449243919,12,Wednesday,4,10,6,0.4,Less Traffic
4449243919,1,Thursday,5,10,4,0.5,Less Traffic
4449243919,2,Thursday,10,10,4,1.0,High Traffic
4449243919,3,Thursday,7,10,4,0.7,Moderate Traffic
4449243919,4,Thursday,5,10,4,0.5,Less Traffic
4449243919,5,Thursday,5,10,4,0.5,Less Traffic
4449243919,6,Thursday,9,10,4,0.9,High Traffic
4449243919,7,Thursday,3,10,4,0.3,Less Traffic
4449243919,8,Thursday,7,10,4,0.7,Moderate Traffic
4449243919,9,Thursday,7,10,4,0.7,Moderate Traffic
4449243919,10,Thursday,5,10,4,0.5,Less Traffic
4449243919,11,Thursday,2,10,4,0.2,Less Traffic
4449243919,12,Thursday,4,10,4,0.4,Less Traffic
4449243919,1,Friday,2,10,0,0.2,Less Traffic
4449243919,2,Friday,6,10,0,0.6,Moderate Traffic
4449243919,3,Friday,3,10,0,0.3,Less Traffic
4449243919,4,Friday,8,10,0,0.8,Moderate Traffic
4449243919,5,Friday,11,10,0,1.0,High Traffic
4449243919,6,Friday,1,10,0,0.1,Less Traffic
4449243919,7,Friday,7,10,0,0.7,Moderate Traffic
4449243919,8,Friday,6,10,0,0.6,Moderate Traffic
4449243919,9,Friday,7,10,0,0.7,Moderate Traffic
4449243919,10,Friday,9,10,0,0.9,High Traffic
4449243919,11,Friday,1,10,0,0.1,Less Traffic
4449243919,12,Friday,9,10,0,0.9,High Traffic
4449243919,1,Saturday,3,10,2,0.3,Less Traffic
4449243919,2,Saturday,9,10,2,0.9,High Traffic
4449243919,3,Saturday,5,10,2,0.5,Less Traffic
4449243919,4,Saturday,4,10,2,0.4,Less Traffic
